UF,Nom_Mun,PopEst2021,PIB_per_capita,lat,long
MG,Abre Campo,13434.0,19553.86,-20.3008160929999,-42.475903925999894
MG,Alvorada de Minas,3605.0,17990.28,-18.733241581,-43.3659564559999
MG,Congonhas do Norte,5047.0,9768.27,-18.8069999989999,-43.6810000019999
MG,Datas,5431.0,13618.93,-18.4477094279999,-43.659226647999894
MG,Diamantina,47924.0,20537.92,-18.2489999989999,-43.6000000029999
MG,Bocaiúva,50521.0,24252.97,-17.107999999,-43.815000002999895
MG,Canaã,4533.0,17088.06,-20.685912879999897,-42.620566966999895
MG,Coimbra,7631.0,18325.94,-20.858695922999896,-42.802393001999896
MG,Baldim,7780.0,25871.06,-19.288,-43.956999999999894
MG,Barra Longa,4905.0,16702.85,-20.2833297419999,-43.0416882829999
MG,Caeté,45364.0,23695.84,-19.8799999999999,-43.669999999999895
MG,Cajuri,3961.0,24569.91,-20.7866962619999,-42.7915870389999
MG,Acaiaca,3995.0,16247.06,-20.362553503,-43.1429272469999
MG,Amparo do Serra,4643.0,12045.13,-20.507944152999897,-42.8010449329999
MG,Araponga,8467.0,14443.79,-20.6674276529999,-42.5214469989999
MG,Central de Minas,7059.0,12334.73,-18.7625848659999,-41.3064116339999
MG,Cipotânea,6811.0,10762.85,-20.9039871109999,-43.365878887
MG,Diogo de Vasconcelos,3779.0,11363.34,-20.486574816999898,-43.1981227599999
MG,Divino das Laranjeiras,4969.0,12416.03,-18.7760667639999,-41.481241532999896
MG,Capela Nova,4616.0,13534.64,-20.922948880999897,-43.6180234299999
MG,Caranaíba,3150.0,13169.27,-20.8759536399999,-43.7390492519999
MG,Caratinga,93124.0,24518.79,-19.789999967999897,-42.1390027899999
MG,Catas Altas da Noruega,3665.0,11130.5,-20.689319498999897,-43.498528528
MG,Belo Vale,7723.0,36243.16,-20.4078878109999,-44.0241765979999
MG,Brás Pires,4255.0,11758.46,-20.848407381,-43.245166221999895
MG,Congonhas,55836.0,73709.5,-20.5000202179999,-43.858042194999896
MG,Conselheiro Lafaiete,130584.0,23881.55,-20.660108411999897,-43.7864298349999
MG,Divino,20020.0,15957.14,-20.6080124609999,-42.1439394029999
MG,Felixlândia,15528.0,18106.34,-18.7579999999999,-44.8990000009999
MG,Betim,450024.0,73624.78,-19.9679999999999,-44.197999999999894
MG,Bom Jesus do Galho,14792.0,11568.99,-19.8289999659999,-42.3160024869999
MG,Bonfim,6852.0,19772.69,-20.3268566249999,-44.2389992419999
MG,Brumadinho,41208.0,112233.99,-20.143105930999898,-44.2000643619999
MG,Bugre,3984.0,11937.36,-19.4244694779999,-42.2562212079999
MG,Divinópolis,242505.0,34355.36,-20.1387004949999,-44.884230728999896
MG,Lagoa da Prata,53236.0,37310.73,-20.0229999999999,-45.5439999999999
MG,Entre Rios de Minas,15458.0,17481.31,-20.6710560559999,-44.0659486249999
MG,Lassance,6494.0,29649.11,-17.886999999,-44.577999999999896
MG,Nova Serrana,108241.0,24352.06,-19.8759999999999,-44.983999999999895
MG,Carandaí,25831.0,29108.4,-20.9538309629999,-43.8061067349999
MG,Casa Grande,2251.0,30760.19,-20.7930117209999,-43.930079901999896
MG,Claro dos Poções,7478.0,11196.9,-17.079999999999902,-44.2090000019999
MG,Augusto de Lima,4833.0,18423.57,-18.108999998999902,-44.26700000099989
MG,Buenópolis,10342.0,17474.86,-17.8729999999999,-44.1800000009999
MG,Buritizeiro,28184.0,26118.73,-17.3509999999999,-44.96200000099989
MG,Santo Antônio do Monte,28603.0,29473.46,-20.0869999999999,-45.2939999999999
MG,Carmo da Mata,11546.0,23014.9,-20.558015022999896,-44.871142211999896
MG,Carmo do Cajuru,22900.0,27469.01,-20.187080419999898,-44.7702627549999
MG,Carmópolis de Minas,19756.0,23365.28,-20.5410122099999,-44.6349768079999
MG,Cláudio,29093.0,38451.85,-20.4430949439999,-44.76587989
MG,Crucilândia,5072.0,16383.73,-20.395116881999897,-44.3377881939999
MG,Desterro de Entre Rios,7266.0,35948.85,-20.6600090979999,-44.332934001999895
RJ,Cordeiro,22152.0,20592.99,-22.027719428999898,-42.3639340479999
RJ,Rio das Ostras,159529.0,56096.82,-22.5238542319999,-41.9486955079999
MG,Alto Rio Doce,10723.0,16798.64,-21.020000191,-43.4116065499999
MG,Araçaí,2360.0,25422.8,-19.199,-44.2479999999999
MG,Aracitaba,2056.0,15253.67,-21.3392842019999,-43.3797998679999
MG,Dores do Turvo,4202.0,15908.49,-20.974263828999902,-43.1897955439999
MG,Belo Oriente,27277.0,77527.64,-19.2207166949999,-42.4871568859999
MG,Braúnas,4737.0,44982.9,-19.0559999419999,-42.7160018839999
MG,Catas Altas,5465.0,920833.97,-20.07413794,-43.4079198269999
MG,Chácara,3216.0,14661.46,-21.6726700009999,-43.2202678599999
MG,Cordisburgo,8903.0,16419.95,-19.1249999999999,-44.3209999999999
MG,Coronel Pacheco,3095.0,19419.15,-21.5874745989999,-43.261625959
MG,Córrego Novo,2688.0,14332.74,-19.8318733519999,-42.4022527249999
MG,Divinésia,3430.0,18575.93,-20.990428852999898,-43.0036427789999
MG,Antônio Carlos,11471.0,21088.32,-21.3201025199999,-43.750494159999896
MG,Barbacena,139061.0,25335.18,-21.215814155999897,-43.7691583779999
MG,Belmiro Braga,3422.0,17992.57,-21.950289996319377,-43.41671551749067
MG,Bias Fortes,3282.0,12668.63,-21.6041111999999,-43.7572352049999
MG,Carrancas,4052.0,43842.86,-21.4881109749999,-44.644053664
MG,Carvalhos,4445.0,18141.26,-21.999943136000002,-44.4624864239999
MG,Cruzília,15529.0,20461.59,-21.838311342999898,-44.8097702879999
MG,Desterro do Melo,2867.0,17657.89,-21.145734754999896,-43.51865821399989
MG,Passa Vinte,2024.0,20794.2,-22.2092749079999,-44.2350679749999
MG,Carmo da Cachoeira,12193.0,26379.28,-21.461000000000002,-45.2239999989999
MG,Caxambu,21566.0,17204.61,-21.9796226899999,-44.930705439
MG,Bom Sucesso,17612.0,25271.28,-21.03090993,-44.7569165359999
MG,Baependi,19249.0,19795.44,-21.9618578269999,-44.8918292849999
MG,Boa Esperança,40308.0,26261.54,-21.0899999999999,-45.565999999999896
MG,Bocaina de Minas,5088.0,15766.67,-22.1696084676486,-44.3973057604562
MG,Campo do Meio,11648.0,19843.07,-21.1069999999999,-45.8299999999999
MG,Campos Gerais,28908.0,24372.14,-21.235,-45.758999999999894
MG,Candeias,14890.0,24926.08,-20.7669999999999,-45.276
MG,Capitólio,8693.0,37783.2,-20.615000000000002,-46.050000000000004
MG,Cristais,13060.0,22628.65,-20.8759999999999,-45.5189999999999
MG,Aguanil,4557.0,20762.54,-20.942999999999902,-45.392999999999894
MG,Iguatama,7901.0,74348.83,-20.1739999999999,-45.711000000000006
MG,Alfenas,80973.0,43049.74,-21.4289999999999,-45.946999999999896
MG,Antônio Prado de Minas,1577.0,18117.22,-21.0165513539999,-42.110116358999896
MG,Campo Belo,54338.0,22905.64,-20.8969999999999,-45.276999999999894
MG,Cambuquira,12810.0,28950.98,-21.8519999999999,-45.29599999999989
MG,Campanha,16855.0,26097.7,-21.836000000000002,-45.401
MG,Alpinópolis,20059.0,26133.79,-20.8639999999999,-46.3879999999999
MG,Cássia,17741.0,24600.35,-20.5829999919999,-46.9220000589999
MG,Cataguases,75942.0,21748.3,-21.3904783869999,-42.6953181329999
MG,Claraval,4873.0,37352.16,-20.4000365909999,-47.285768647999895
MG,Consolação,1786.0,17609.85,-22.551388881999898,-45.9211112699999
MG,Córrego do Bom Jesus,3685.0,12384.73,-22.6302777649999,-46.020000288999896
MG,Delfinópolis,7146.0,34599.14,-20.3439999849999,-46.854000125999896
MG,Água Comprida,1986.0,115725.51,-20.055999997,-48.1090000159999
MG,Cachoeira Dourada,2720.0,99124.77,-18.5149999989999,-49.501000002999895
SP,São Bento do Sapucaí,10907.0,37283.14,-22.6889999919999,-45.73100019099989
